index	label	text
47	2	"星期六，我兴致勃勃地来到展览馆，观看农业科技成就展。
袁隆平爷爷的贡献最引人注目。讲解员阿姨介绍说，他培育出的杂交水稻良种，大大提高了水稻产量。我们用世界上百分之七的耕地，养活了全世界百分之二十二以上的人口，袁爷爷立了大功。
我还看到一个大棚模型。这种大棚能准确控制温度、温度和光照，在寒冷的冬季也能让百花盛开，瓜果飘香。
彩色棉花的介绍引起了我的好奇。这种棉花在吐絮时就有红、黄、绿等不同颜色，棉纺厂可以直接用它纺出五彩线，织出五彩布。
无土栽培的技术也很了不起。科技人员把各种养分溶解在水里，不用泥土，植物靠着这样的水，也能长得十分茁壮。
回家的路上，我不禁想：有了先进的科学技术，农业的变化真大！
"
1034	2	"10月23日  阴
白杨树的叶子快落光了，地上的草也枯黄了，天冷起来了。刺猬开始准备过冬的窝，他找来许多干草和树叶，塞进树底下的一个洞里去。
我呢，采了十来个磨菇，晒在松树枝上，也算是做了一点过冬的准备。
明天还得再晒上一点，冬天找食物可困难哪！
1月20日  暴风雨
我睡得正香，忽然，一大块雪从树顶上塌下来，正砸在窝顶上。我只得爬出来，把雪扒开。
天灰蒙蒙的，风刮得很紧，雪很大。啊，暴风雪在袭击大森林！
我想吃点东西，就爬到附近的松树上，吃秋天晒在那儿的蘑菇干——它可没有鲜蘑菇那么好吃了。
我俯身向下看，只见刺猬住的洞前面立着一块木牌，上面写着他的启事:“我正在冬眠，打算一直睡到明年春天，请勿打扰。”
2月18日  晴
天变暖了，树上的雪开始融化，林子里响起了一片嘀嘀答答的滴水声。
树下青草已经发芽，我跳到地上找到了去年收藏的松果，吃了几颗，身体感到舒服多了。于是我去拜访刺猬，可是他的洞口仍然被乱草封着，估计这个懒家伙还在睡觉呢！
"
499	5	"周瑜看到诸葛亮挺有才干，心里很妒忌。
有一天，周瑜请诸葛亮商议军事，说：“我们就要跟曹军交战。水上交战，用什么兵器最好？”诸葛亮说：“用弓箭最好。”周瑜说：“对，先生跟我想的一样。现在军中缺箭，想请先生负责赶造十万支。这是公事，希望先生不要推却。”诸葛亮说：“都督委托，当然照办。不知道这十万支箭什么时候用？”周瑜问：“十天造得好吗？”诸葛亮说：“既然就要交战，十天造好，必然误了大事。”周瑜说：“先生预计几天可以造好？”诸葛亮说：“只要三天。”周瑜说：“军情紧急，可不能开玩笑。”诸葛亮说：“怎么敢跟都督开玩笑？我愿意立下军令状，三天造不好，甘受惩罚。”周瑜很高兴，叫诸葛亮当面立下军令状，又摆了酒席招待他。诸葛亮说：“今天来不及了。从明天起，到第三天，请派五百个军士到江边来搬箭。”诸葛亮喝了几杯酒就走了。
鲁肃对周瑜说：“十万支箭，三天怎么造得成呢？诸葛亮说的是假话吧？”周瑜说：“是他自己说的，我可没逼他。我得吩咐军匠们，叫他们故意迟延，造箭用的材料，不给他准备齐全。到时候造不成，定他的罪，他就没话可说了。你去探听探听，看他怎么打算，回来报告我。”
鲁肃见了诸葛亮。诸葛亮说：三天之内要造十万支箭，得请你帮帮我的忙。”鲁肃说：“都是你自己找的，我怎么帮得了你的忙？”诸葛亮说：“你借给我二十条船，每条船上要三十名军士。船用青布幔子遮起来，还要一千多个草把子，排在船的两边。我自有妙用。第三天管保有十万支箭。不过不能让都督知道，他要是知道了，我的计划就完了。”
鲁肃答应了。他不知道诸葛亮借船有什么用，回来报告周瑜，果然不提借船的事，只说诸葛亮不用竹子、翎毛、胶漆这些材料。周瑜疑惑起来，说：“到了第三天，看他怎么办！”
鲁肃私自拨了二十条快船，每条船上配了三十名军士，照诸葛亮说的，布置好青布幔子和草把子，等诸葛亮调度。第一天，不见诸葛亮有什么动静；第二天，仍然不见诸葛亮有什么动静；直到第三天四更时候，诸葛亮秘密地把鲁肃请到船里。鲁肃问他：“你叫我来做什么？”诸葛亮说：“请你一起去取箭。”鲁肃问：“哪里去取？”诸葛亮说：“不用问，支了就知道。”诸葛亮吩咐把二十条船用绳索连接起来，朝北岸开去。
这时候大雾漫天，江上连面对面都看不清。天还没亮，船已经靠近曹军的水寨。诸葛亮下令把船头朝西，船尾朝东，一字摆开，又叫船上的军士一边擂鼓，一边大声呐喊。鲁肃吃惊地说：“如果曹兵出来，怎么办？”诸葛亮笑着说：“雾这么大，曹操一定不敢派兵出来。我们只管饮酒取乐，天亮了就回去。”
曹操听到鼓声和呐喊声，就下令说：“江上雾很大，敌人忽然来攻，我们看不清虚实，不要轻易出动。只叫弓弩手朝他们射箭，不让他们近前。”他派人去旱寨调来六千名弓弩手，到江边支援水军。一万多名弓弩手一齐朝江中放箭，箭好像下雨一样。诸葛亮又下令把船掉过来，船头朝东，船尾朝西，仍旧擂鼓呐喊，逼近曹军水寨受箭。
天渐渐亮了，雾还没有散。这时候，船两边的草把子上都把插满了箭。诸葛亮吩咐军士们齐声高喊“谢谢曹丞相的箭”，接着叫二十条船驶回南岸。曹操知道上了当，可是这边的船顺风顺水，已经驶出二十多里，要追也来不及了。
二十条船靠岸的时候，周瑜派来的五百个军士正好来到江边搬箭。每条船大约有五六千支箭，二十条船总共有十万多支。鲁肃见了周瑜，告诉他借箭的经过。周瑜长叹一声，说：“诸葛亮神机妙算，我真比不上他。”
"
1210	5	"我最爱捉蝉。有一天，我无意中捡到了几个透明发亮的壳。叔叔们说，那是蝉虫脱的壳。夜幕降临，蝉虫就从土里钻出来，偷偷地爬到树干上，脱掉它身上的旧衣，换上华丽的新装。
这是多么神奇有趣的事啊！我决心要揭开金蝉脱壳的秘密。
这天傍晚，下了一阵毛毛雨。雨过天晴，空气十分新鲜，我向菜园跑去。菜园里的柿子树枝繁叶茂，在夕阳映照下显得更加翠绿。我的目光顺着树干上下搜索着。突然，我发现了一只肥肥的、通身发着金黄色亮光的蝉虫，正沿着柿子树往上爬。当爬到一个枝丫上时，它用脚紧紧抓住树皮上的一处裂口，停在那里不动了。我轻手轻脚地爬上树，躲在一个枝丫后面，聚精会神地盯着这只蝉虫，等待着金蝉脱壳这一时刻的到来。
开始脱壳了！蝉虫整个身体来回地抽搐了几下，背上立刻裂开了一道口子，蝉背露出来了。背上那一层保护甲的颜色也在很快地变化着，先是极淡的绿色，一会儿变成了深绿色。接着，头钻出来了，前面一双透明发亮的大眼睛，像两颗花椒籽一样又黑又亮。六只脚出来了，整个身子在慢慢地活动。最有趣的是蝉尾出壳的情景。未出壳的蝉尾使劲地抖动着，伸着。蝉儿把它已经出壳的上半身腾空向后仰去，又敏捷地向前扑来，再用前脚抓住蝉壳用力一抽，又白又嫩的蝉尾就出来了。整个动作配合得自然协调。脱壳的蝉儿静静地趴在蝉壳上，过了好一阵子，才依依不舍地离开了蝉壳。
刚出壳的蝉儿除了背上那一层保护甲外，全身都是灰白色的，折叠的翅膀也只有一点点。但是，很快就发生了奇迹般的变化。又小又嫩的翅膀逐渐大了起来，很快盖住身子，像两把扇子长长地拖在身后。蝉儿的肚子在不停地颤动着，每颤动一次，身上的颜色就由浅而深地变化一次，渐渐地变成了深绿色，变成了棕黑色。翅膀上出现了排列整齐、图案精巧的斑纹。蝉触角也显现出一道道灰白色的光环。
这是多么奇特动人的情景啊！我高兴得几乎叫起来。
我再一次仔细地看着蝉儿，它是那样五彩缤纷，就像雕刻家给自己的艺术品涂上了油彩一样。而留在一旁得蝉壳，透明发亮，闪着金光。这阵儿，蝉儿长久地趴在树上，恢复体力，准备开始它的歌唱生涯。
"
911	3	"蒲公英的花瓣落了，花托上长出了洁白的绒球。一阵阵风吹过，那可爱的绒球就变成了几十个小降落伞，在蓝天白云下随风飘荡。
太阳公公看见了，亲切地嘱咐他们：“孩子们记住，别落在表面上金光闪闪的地方，那是沙漠。也不要被银花朵朵所迷惑，那是湖泊。只有黑黝黝的泥土，才是你们生根长叶的地方。”
小降落伞大声答道：“放心吧，太阳公公！我们一定到泥土中去生长！”可是，有两颗小种子却不这样想。一颗种子望了望下面的大地说：“这黑黑的泥巴有什么意思！瞧，那金光闪闪的地方一定有数不尽的宝贝。到那儿去，我准会变成百万富翁。”于是，他就向沙漠飞去。另一颗种子落在湖泊里，他得意地说：“这波光粼粼的湖面，一定能给我带来欢乐！”
第二年的春天，落在沙漠里的蒲公英种子早已干死；落在湖泊里的种子早已淹死；只有落在泥土里的种子茁壮成长起来，他们在金灿灿的阳光下竞相开放，把大地装点得更加美丽。
"
796	5	"故乡的梅花又开了。那朵朵冷艳、缕缕幽芳的梅花，总让我想起漂泊他乡、葬身异国的外祖父。
我出生在东南亚的星岛，从小和外祖父生活在一起。外祖父年轻时读了不少经、史、诗、词，又能书善画，在星岛文坛颇负盛名。我很小的时候，外祖父常常抱着我，坐在梨花木大交椅上，一遍又一遍地教我读唐诗宋词。每当读到“独在异乡为异客，每逢佳节倍思亲”“春草明年绿，王孙归不归”“自在飞花轻似梦，无边丝雨细如愁”之类的句子，常会有一颗两颗冰凉的泪珠落在我的腮边、手背。这时候，我会拍着手笑起来：“外公哭了！外公哭了！”老人总是摇摇头，长长地叹了一口气，说：“莺儿，你还小呢，不懂！”
外祖父家中有不少古玩，我偶尔摆弄，老人也甚在意。唯独书房里那一幅墨梅图，他分外爱惜，家人碰也碰不得。我五岁那年，有一回到书房玩耍，不小心在上面留了个脏手印，外祖父顿时拉下脸来。有生以来，我第一次听到他训斥我妈：“孩子要管教好，这清白的梅花，是玷污得的吗？”训罢，便用保险刀片轻轻刮去污迹，又用细绸子慢慢抹净。看见慈祥的外祖父大发脾气，我心里又害怕又奇怪：一枝画梅，有什么稀罕的呢？
有一天，妈妈忽然跟我说：“莺儿，我们要回中国去！”
“干吗要回去呢？”
“那儿才是我们的祖国呀！”
哦！祖国，就是那地图上像一只金鸡的地方吗？就是那拥有长江、黄河、万里长城的国土吗？我欢呼起来，小小的心充满了欢乐。
可是，我马上想起外祖父，我亲爱的外祖父。我向妈妈：“外公走吗？”
“外公年纪太大了……”
我跑进外祖父的书房，老人正躺在藤沙发上。我说：“外公，您也回祖国去吧！”
想不到外祖父竟像小孩子一样，“呜呜呜”地哭了起来……
离别的前一天早上，外祖父早早地起了床，把我叫到书房里，郑重地递给我一卷白杭绸包着的东西。我打开一看，原来是那幅墨梅，就说：“外公，这不是您最宝贵的画吗？”
“是啊，莺儿，你要好好保存！这梅花，是我们中国最有名的花。旁的花，大抵是春暖才开花，她却不一样，愈是寒冷，愈是风欺雪压，花开得愈精神，愈秀气。”她是最有品格、最有灵魂、最有骨气的！几千年来，我们中华民族出了许多有气节的人物，他们不管历经多少磨难，不管受到怎样的欺凌，从来都是顶天立地，不肯低头折节。他们就像这梅花一样。一个中国人，无论在怎样的境遇里，总要有梅花的秉性才好！”
回国的那一天正是元旦，虽然热带是无所谓隆冬的，但腊月天气，也毕竟凉飕飕的。外祖父把我们送到码头。赤道吹来的风撩乱了老人平日梳理得整整齐齐的银发，我觉得外祖父一下子衰老了许多。
船快开了，妈妈只好狠下心来，拉着我登上大客轮。想不到泪眼蒙眬的外祖父也随着上了船，递给我一块手绢——一色雪白的细亚麻布上绣着血色的梅花。
多少年过去了，我每次看到外祖父珍藏的这幅梅花图和给我的手绢，就想到，这不只是花，而且是身在异国的华侨老人一颗眷恋祖国的心。
"
307	5	"车窗外是茫茫的大戈壁，没有山，没有水，也没有人烟。天和地的界限并不那么清晰，都是浑黄一体。
从哪儿看得出列车在前进呢？
那就是沿着铁路的一行白杨树。每隔几秒钟，窗外就飞快地闪过一个高大挺秀的身影。
一位旅客正着这些戈壁滩上的卫士出神。
“爸爸，”大孩子摇着他的腿，“你看那树多高！”
爸爸并没有从沉思中回过头来，倒是旁边的妹妹插嘴了：“不，那不是树，那是大伞！”
“哪有这么大的伞！”
“你看它多直！”妹妹分辩着。
“它是树，不是伞！”哥哥肯定地说。
小小的争论打断了爸爸的思路，他微笑着，慢慢地抚摸着孩子们的头，说：“这不是伞，是白杨树。”
哥哥还不满足：“为什么它这么直，长得这么大？”
爸爸的微笑消失了，脸色变得严肃起来。他想了一会儿，对儿子和小女儿说：“白杨树从来就这么直哪儿需要它，它就在哪儿很快地生根发芽，长出粗壮的枝干。不管遇到风沙还是雨雪，不管遇到干旱还是洪水，它总是那么直，那么坚强，不软弱，也不动摇。”
爸爸只是向孩子们介绍白杨树吗？不是，他也在表白着自己的心。而这，孩子们现在还不能理解。
他们只知道爸爸在新疆工作，妈妈也在新疆工作。他们只知道爸爸这回到奶奶家来，接他们到新疆去念小学，将来再念中学。他们只知道新疆是个很远很远的地方，要坐几天火车，还要坐几天汽车。
现在呢，孩子们多了一点知识。在通向新疆的路上，有许许多多白杨树。这儿需要它们，它们就在这儿生根了。
爸爸搂着孩子，望着窗外闪过去的白杨树，又陷入沉思。突然，他的嘴角又浮起一丝微笑，那是因为他看见火车前进方向的右面，在一棵高大的白杨树身边，几棵小树正迎着风沙成长起来。
"
1152	2	"梅子熟了，枇杷黄了，还有那红得像宝石般的樱桃已摆在竹篮里卖着了，不知不觉立夏节到了。
哎哟，怎么家家门口的箩里都摆着雪白的米，石凳上摆着鲜嫩的春笋、韭菜，还有用茶叶煮得喷香的立夏蛋？
村东过来一群孩子，从箩里抓了几把米；村西的孩子过来了，从石凳上拣走了几根笋；村南的，村北的孩子却向主人讨点香油，还从柴堆中抽了几根柴……
河滩边，青蚕豆地里，小姑娘们摘着肥大的豆荚；大树下的场地上，小男孩儿用石头、瓦片垒起锅灶。不一会儿，炊烟袅袅，野菜、野笋和饭菜的香味飘散开来。孩子们围着锅子吃，村子里的大人围着孩子看，年年如此。老一辈传下来的习俗：立夏节，孩子们要吃“百家饭”，预兆着他们会长得健康、聪明，是种庄稼的好手，会给村里人造福。
大树下又支起一杆大秤来，两个大汉抬着，由村上德高望重的长辈看秤花，立夏节的称人活动便开始了。男女孩子用手攥着秤绳，荡在空中，旁边的孩子唱着：“称猫哇，称狗哇，吃百家饭哪，长筋骨哇，长成个壮小伙儿呀（长成个俏姑娘啊）……” 最后的一句，都掩着口，哧哧地笑着，再也唱不下去了。另一批小孩儿又上去称……
布谷鸟在田野里鸣唱，杜鹃花开得正红，这是江南最美丽的季节呀！
"
619	5	"我写作的时候，常常为我面前这一个个方块字而动情。它们像一群活泼可爱的孩子在纸上玩笑嬉戏，像朵朵美丽多姿的鲜花愉悦你的眼睛。这时我真不忍将它们框在方格里，真想叫它们离开格子去舒展身体，去不受拘束地享受自己的欢乐。
真的，它们可不是僵硬的符号，而是有着独特性格的精灵。你看吧，每个字都有不同的风韵。看到“太阳”这两个字，你能感触到热和力，而望见“月亮”，眼前却又闪着清丽的光辉。“轻”字使人有飘浮感，“重”字一望而沉坠。“笑”字令人欢快，“哭”字一看就像流泪。“冷霜”好像散发出一种寒气，“幽深”两个字出现，你似乎进入森林或宁静的院落。当你写下“人”这个字的时候，不禁肃然起敬，并为祖先的创造赞叹不已。这些用笔画组成的美妙图画，这些由横竖撇捺构成的奇妙组合，同人的气质多么相近。它们在瞬间走进想象，然后又从想象流出，在记忆中留下无穷的回味。这是一些多么可爱的小精灵啊！在书法家的笔下，它们更能生发出无穷无尽的变化，或挺拔如峰，或清亮如溪，或浩瀚如海，或凝滑如脂。它们自身就有一种智慧的力量，一个想象的天地，任你尽情飞翔与驰骋。在人类古老的历史长河中，有哪一个民族能像中华民族这样拥有如此丰富的书法瑰宝？
为什么中华民族成为拥有诗歌传统的民族呢？因为这些美丽而富有魅カ的文字，给使用它的人帯来了诗的灵性。看着这些有色彩、有声音、有气味的字词怎能不诱发你调动这些语言文字的情绪啊像徜徉在夏天夜晚的星空下，为那壮丽的景色而迷醉，我无限钟情于我赖以思维和交往的汉字，并震惊于它的无限活力和奇特魅力。我坚信，在人类历史的长河中，汉字将越来越被世人所珍爱。
"
1028	3	"景色秀丽的庐山，那里有高峰，有幽谷，有瀑布，有溪流，尤其是变幻无常的云雾，更给它增添了几分神秘的色彩。在山上游览，似乎随手就能摸到飘来的云雾。漫步山道，常常会有一种腾云驾雾、飘飘欲仙的感觉。
庐山的云雾千姿百态。那些笼罩在山头的云雾，像是戴在山顶的白色绒帽；那些缠绕在半山的云雾，又像是系在山腰间的一条条玉带。云雾弥漫的山谷，它是茫茫的大海；云雾遮挡的山峰，它又是巨大的天幕。
庐山的云雾瞬息万变。眼前的云雾，刚刚还是随风飘荡的一缕轻烟，转眼间就变成了一泻千里的九天河；明明是一匹四蹄生风的白马，还没等你完全看清楚，它又变成了漂浮在北冰洋上的一座巨大冰山
云遮雾罩的庐山，真令人流连忘返。
"
